a,b,c
0.5,5.004869689315816e-06,2.8941164723588427e-05
1.0,-5.2151613963197335e-06,5.467807420574867e-06
1.5,-1.6893927992974567e-06,3.0387464673380097e-06
2.0,-8.466529186424199e-07,1.8885317810181748e-06
2.5,-6.369174060064181e-07,1.2766743280907603e-06
3.0,-5.719567753474253e-07,9.241765009576496e-07
3.5,-5.4214648057525e-07,7.01593494784492e-07
4.0,-5.224381747046409e-07,5.953047441519107e-07
4.5,-5.067418738080956e-07,5.289295728888378e-07
5.0,-4.933351287667563e-07,4.7042226538223644e-07
5.5,-4.815719811519046e-07,4.190909021850425e-07
6.0,-4.711153007937753e-07,3.741569534044254e-07
6.5,-4.6174320934960644e-07,3.3484718930299976e-07
7.0,-4.5329174776764006e-07,3.0043978461362674e-07
7.5,-4.456328860760344e-07,2.702844863533562e-07
8.0,-4.386635360332746e-07,2.4380800918036755e-07
8.5,-4.32298885531966e-07,2.2051173316474285e-07
9.0,-4.2646800126041756e-07,1.999654675065442e-07
9.5,-4.2111075186408225e-07,1.817999490141033e-07
10.0,0.005216162363860215,4.997901911681646
10.5,0.022255551399702152,5.101033857190148
11.0,0.03808121616000971,5.583025845620259
11.5,0.0544038456944984,5.419086213711418
12.0,0.07007025798007203,5.012717416775277
12.5,0.08682758165551287,5.175788761994493
13.0,0.10466096650037951,5.068990750339963
13.5,0.12230286326204975,4.658699943669321
14.0,0.14173154053918216,4.773763913217885
14.5,0.16178626915409203,4.660498645518708
15.0,0.18211052622778445,4.350029325759828
15.5,0.20416257509263214,4.3654944045172845
16.0,0.2246039958508784,4.017908977849948
16.5,0.24860576204648474,4.096058944665799
17.0,0.2721099008540854,4.006234436004254
17.5,0.29514814057891603,3.6623395431648267
18.0,0.3212931540987294,3.743346835640086
18.5,0.3457455523198072,3.603015161442368
19.0,0.36979110842636537,3.2858996404699434
19.5,0.3565878855304723,0.5543870185495463
20.0,0.3532499713248135,0.4816362952547254
20.5,0.3371875443902602,0.37431863177593144
21.0,0.33062170263153146,0.2666796058632018
21.5,0.3254193587824335,0.25490759466130675
22.0,0.32199731180649843,0.20374749460175443
22.5,0.318188188345088,0.20389599957894863
23.0,0.31524769001611214,0.17629667368214366
23.5,0.3120445658990604,0.1758827749844564
24.0,0.3094302191241512,0.16489265499644176
24.5,0.3066673459056689,0.155774250503683
25.0,0.3043251229132197,0.153371022005129
25.5,0.30190330234896107,0.1448084973622328
26.0,0.2997890404382488,0.14276520105269186
26.5,0.2976376436404528,0.13567512819154998
27.0,0.2957153837531852,0.1332089884744606
27.5,0.2937824712934836,0.1272733388837267
28.0,0.2920232716356992,0.12461829566900097
28.5,0.29026978749661303,0.11957613083515876
29.0,0.28865023817982843,0.11687228489241448
29.5,0.28704623887731,0.11252648227995062
30.0,0.28554723635527873,0.10985837162692767
30.5,0.2840693787075016,0.10606301355460032
31.0,0.2826751988783329,0.10348063245171235
31.5,0.2813050206615386,0.10012756323820751
32.0,0.28000262167066287,0.09765896392521835
32.5,0.27872533379608777,0.09466721796804549
33.0,0.2775038242131447,0.09232643321943901
33.5,0.2763074428994094,0.08963457374590832
34.0,0.27515766965130034,0.08742672133751864
34.5,0.27403238113705314,0.08498742502779245
35.0,0.27294660608433163,0.08291203702096253
35.5,0.2718842943102324,0.08068828287858658
36.0,0.2708559378558458,0.07874148823189421
36.5,0.2698498286591931,0.07670386473278733
37.0,0.2688732649109176,0.07487982030258632
37.5,0.2679176548919512,0.07300460817869218
38.0,0.26698804697584455,0.07129643269686242
38.5,0.26607809474478816,0.06956422729337809
39.0,0.2651912616849283,0.06796460499440492
39.5,0.26432282561452014,0.06635931636151583
40.0,0.26347513421301505,0.06486088054676759
40.5,0.2626446452275442,0.0633690000169176
41.0,0.2618329218617468,0.06196457008498747
41.5,0.2610372828778775,0.06057462642000054
42.0,0.2602587412464085,0.05925734764333262
42.5,0.2594952470658308,0.057959499199552796
43.0,0.2587474287628713,0.056722918385165966
43.5,0.25801370179103483,0.055508643735875975
44.0,0.2572944272415966,0.054346743088552946
44.5,0.25658836554726755,0.053208603561684595
45.0,0.2558956933414597,0.05211580777585197
45.5,0.2552154284112589,0.051047263009990344
46.0,0.25454762147286425,0.05001842968405515
46.5,0.2538914836336563,0.04901369264804246
47.0,0.25324698096913856,0.04804409276807428
47.5,0.25261347091613484,0.04709801444702026
48.0,0.25199086393397235,0.04618330741515645
48.5,0.25137862915115927,0.04529128402624071
49.0,0.25077664173863534,0.044427490165835665
49.5,0.2501844568608938,0.043585387663702936
50.0,0.24960192855898217,0.04276886008750309
50.5,0.24902867893029443,0.041972952079404754
51.0,0.24846455067109446,0.041200349100438294
51.5,0.24790921850618533,0.04044726527400671
52.0,0.2473625204773972,0.03971552406514931
52.5,0.24682417315697308,0.03900220694525309
53.0,0.24629401443660623,0.03830851883708322
53.5,0.2457717945579408,0.03763218721243882
54.0,0.24525735422863348,0.03697397481199108
54.5,0.24475047110853665,0.036332092556442416
55.0,0.2442509906103344,0.03570698873553005
55.5,0.24375871299582902,0.03509723803693815
56.0,0.24327348952086503,0.03450306675556179
56.5,0.24279513930635344,0.03392332497887774
57.0,0.24232352007221844,0.03335808385827247
57.5,0.24185846686222506,0.032806403432153526
58.0,0.24139984412790327,0.03226824796538389
58.5,0.24094750051097033,0.03174283880483093
59.0,0.24050130722428,0.031230068078987937
59.5,0.24006112464772061,0.03072928215158988
60.0,0.23962683063028034,0.0302403259532349
60.5,0.23919829578577717,0.029762643669574707
61.0,0.23877540437653358,0.029296050846830943
61.5,0.23835803602132466,0.02884006901376837
62.0,0.23794608111411225,0.028394496975077458
62.5,0.2375394272637847,0.027958918095666287
63.0,0.23713797068344833,0.027533123332779408
63.5,0.2367416061253487,0.027116746072163165
64.0,0.23635023529617163,0.02670957560479684
64.5,0.2359637593776898,0.026311286271381747
65.0,0.23558208524509988,0.025921669918836945
65.5,0.23520511990133933,0.025540434832539725
66.0,0.23483277507291309,0.02516737822778077
66.5,0.2344649630614475,0.0248022368670259
67.0,0.23410160013987955,0.024444815135997215
67.5,0.23374260345579725,0.024094873970287888
68.0,0.2333878935396204,0.023752226008627343
68.5,0.23303739198872736,0.023416652937046985
69.0,0.2326910233194159,0.023087976221579796
69.5,0.23234871323028122,0.02276599554829545
70.0,0.23201038996878595,0.022450541429290694
70.5,0.23167598302631226,0.02214142931596583
71.0,0.23134542414412662,0.02183849874085382
71.5,0.2310186463309146,0.02154157908419427
72.0,0.230695584601526,0.021250518708762836
72.5,0.2303761752349421,0.020965159397408076
73.0,0.23006035631518687,0.020685358045878066
73.5,0.2297480671687597,0.02041096755691635
74.0,0.2294392487597121,0.02014185299583496
74.5,0.22913384326065744,0.01987787729572723
75.0,0.22883179433981662,0.019618913290832714
75.5,0.22853304683314266,0.019364833009673312
76.0,0.22823754695055032,0.019115516637944537
76.5,0.22794524202411376,0.018870844489679357
77.0,0.2276560806551676,0.018630703681982393
77.5,0.22737001251901165,0.018394982106468113
78.0,0.22708698846880795,0.018163573398433337
78.5,0.2268069603830695,0.017936372403483867
79.0,0.22717430965175836,0.05129293467206876
79.5,0.19830818097308248,3.2261025038960174
80.0,0.17316993590397264,3.8242197609694886
80.5,0.13909010027666702,3.6965086682141637
81.0,0.11478604735534208,3.8877486563959778
81.5,0.09355767379806765,4.110954207192587
82.0,0.0749894638318325,3.9283342123231693
82.5,0.0571254620381446,4.2958287773806525
83.0,0.04123339693875549,4.189746948678433
83.5,0.026313442472122327,4.347018693019809
84.0,0.012823996893863,4.458320614213342
84.5,0.00027357215399491207,4.560342496245955
85.0,-0.011171344887331744,4.664428199069007
85.5,-0.021499341448208847,4.766053805162403
86.0,-0.030776696322202902,4.864682117075021
86.5,-0.03902238352578428,4.957886560685516
87.0,-0.046267356552620584,5.042865438676334
87.5,-0.05253729896109382,5.115317260546693
88.0,-0.05786359731920861,5.168890161253758
88.5,-0.06317080229842366,4.44455787928948
89.0,-0.0707719596594639,5.757920907975082
89.5,-0.04548801319944209,5.578693300022708
90.0,-0.029007688669440226,5.021179982215816
90.5,-0.013785784674977205,5.469763671516625
91.0,0.0029868056937402666,5.300917084532958
91.5,0.019330778846437267,4.908875617847261
92.0,0.036298017924416386,5.0768084338136
92.5,0.054561672408916136,4.975238226854051
